"col_sub","blockNr","trialNr","choice","shockOutcome","rewardOutcome"
"RLT_41",1,1,1,1,1
"RLT_41",1,2,2,2,2
"RLT_41",1,3,1,1,2
"RLT_41",1,4,2,2,2
"RLT_41",1,5,1,1,1
"RLT_41",1,6,1,2,2
"RLT_41",1,7,2,1,2
"RLT_41",1,8,1,2,1
"RLT_41",1,9,1,2,1
"RLT_41",1,10,1,1,2
"RLT_41",1,1,1,1,1
"RLT_41",1,2,1,1,1
"RLT_41",1,3,1,1,1
"RLT_41",1,4,1,1,1
"RLT_41",1,5,1,1,1
"RLT_41",1,6,1,1,1
"RLT_41",1,7,1,1,1
"RLT_41",1,8,1,1,1
"RLT_41",1,9,1,1,1
"RLT_41",1,10,1,1,1
"RLT_41",2,1,2,1,2
"RLT_41",2,2,1,2,1
"RLT_41",2,3,2,1,2
"RLT_41",2,4,1,1,2
"RLT_41",2,5,2,1,2
"RLT_41",2,6,1,2,1
"RLT_41",2,7,2,1,2
"RLT_41",2,8,1,2,1
"RLT_41",2,9,1,2,1
"RLT_41",2,10,1,2,1
"RLT_41",2,1,2,1,2
"RLT_41",2,2,2,1,2
"RLT_41",2,3,2,2,2
"RLT_41",2,4,2,1,2
"RLT_41",2,5,2,1,2
"RLT_41",2,6,2,1,2
"RLT_41",2,7,2,2,2
"RLT_41",2,8,2,1,2
"RLT_41",2,9,2,1,2
"RLT_41",2,10,2,1,2
"RLT_41",3,1,2,1,2
"RLT_41",3,2,1,2,1
"RLT_41",3,3,2,2,2
"RLT_41",3,4,1,2,2
"RLT_41",3,5,1,2,1
"RLT_41",3,6,1,2,1
"RLT_41",3,7,2,1,2
"RLT_41",3,8,1,2,1
"RLT_41",3,9,1,1,1
"RLT_41",3,10,1,2,1
"RLT_41",3,1,1,1,2
"RLT_41",3,2,1,1,1
"RLT_41",3,3,1,1,2
"RLT_41",3,4,1,1,1
"RLT_41",3,5,1,1,1
"RLT_41",3,6,1,1,1
"RLT_41",3,7,1,1,2
"RLT_41",3,8,1,1,1
"RLT_41",3,9,1,1,1
"RLT_41",3,10,1,1,1
"RLT_41",4,1,1,2,1
"RLT_41",4,2,2,1,2
"RLT_41",4,3,1,2,1
"RLT_41",4,4,2,2,2
"RLT_41",4,5,1,2,1
"RLT_41",4,6,1,2,1
"RLT_41",4,7,1,2,2
"RLT_41",4,8,1,2,1
"RLT_41",4,9,1,2,1
"RLT_41",4,10,1,2,1
"RLT_41",4,1,2,1,2
"RLT_41",4,2,2,1,2
"RLT_41",4,3,2,2,2
"RLT_41",4,4,2,1,2
"RLT_41",4,5,2,1,2
"RLT_41",4,6,2,1,2
"RLT_41",4,7,2,1,2
"RLT_41",4,8,2,1,2
"RLT_41",4,9,2,1,2
"RLT_41",4,10,2,1,2
"RLT_41",5,1,2,1,1
"RLT_41",5,2,2,2,2
"RLT_41",5,3,1,1,1
"RLT_41",5,4,1,2,1
"RLT_41",5,5,1,1,1
"RLT_41",5,6,1,2,1
"RLT_41",5,7,2,2,2
"RLT_41",5,8,2,1,2
"RLT_41",5,9,1,2,1
"RLT_41",5,10,2,1,2
"RLT_41",5,1,1,1,2
"RLT_41",5,2,2,1,2
"RLT_41",5,3,2,1,2
"RLT_41",5,4,1,1,1
"RLT_41",5,5,1,1,1
"RLT_41",5,6,1,1,1
"RLT_41",5,7,1,1,2
"RLT_41",5,8,1,1,1
"RLT_41",5,9,1,1,1
"RLT_41",5,10,1,1,1
"RLT_41",6,1,2,1,2
"RLT_41",6,2,1,2,1
"RLT_41",6,3,2,1,2
"RLT_41",6,4,1,2,1
"RLT_41",6,5,1,1,1
"RLT_41",6,6,1,1,1
"RLT_41",6,7,1,2,1
"RLT_41",6,8,1,1,2
"RLT_41",6,9,1,2,1
"RLT_41",6,10,1,1,2
"RLT_41",6,1,1,2,2
"RLT_41",6,2,2,1,2
"RLT_41",6,3,2,2,2
"RLT_41",6,4,2,1,2
"RLT_41",6,5,2,2,2
"RLT_41",6,6,2,1,2
"RLT_41",6,7,2,1,2
"RLT_41",6,8,2,1,2
"RLT_41",6,9,2,1,2
"RLT_41",6,10,2,2,2
"RLT_42",1,1,1,2,1
"RLT_42",1,2,1,2,2
"RLT_42",1,3,2,1,2
"RLT_42",1,4,2,1,2
"RLT_42",1,5,2,2,2
"RLT_42",1,6,2,1,2
"RLT_42",1,7,2,1,2
"RLT_42",1,8,2,1,1
"RLT_42",1,9,2,1,1
"RLT_42",1,10,2,1,2
"RLT_42",1,1,1,1,1
"RLT_42",1,2,2,1,1
"RLT_42",1,3,2,1,2
"RLT_42",1,4,2,1,2
"RLT_42",1,5,2,1,2
"RLT_42",1,6,2,1,2
"RLT_42",1,7,2,1,2
"RLT_42",1,8,2,1,2
"RLT_42",1,9,2,1,2
"RLT_42",1,10,2,1,2
"RLT_42",2,1,1,2,1
"RLT_42",2,2,1,1,2
"RLT_42",2,3,1,2,1
"RLT_42",2,4,1,1,1
"RLT_42",2,5,1,2,2
"RLT_42",2,6,1,2,1
"RLT_42",2,7,2,1,2
"RLT_42",2,8,2,1,1
"RLT_42",2,9,2,2,2
"RLT_42",2,10,2,2,1
"RLT_42",2,1,2,1,2
"RLT_42",2,2,2,1,2
"RLT_42",2,3,2,1,2
"RLT_42",2,4,2,2,2
"RLT_42",2,5,2,1,2
"RLT_42",2,6,2,1,2
"RLT_42",2,7,2,1,2
"RLT_42",2,8,2,1,2
"RLT_42",2,9,2,1,2
"RLT_42",2,10,2,1,2
"RLT_42",3,1,1,1,1
"RLT_42",3,2,2,1,2
"RLT_42",3,3,2,1,1
"RLT_42",3,4,1,2,2
"RLT_42",3,5,1,2,2
"RLT_42",3,6,2,1,2
"RLT_42",3,7,1,2,1
"RLT_42",3,8,2,1,1
"RLT_42",3,9,2,1,2
"RLT_42",3,10,2,2,2
"RLT_42",3,1,1,1,2
"RLT_42",3,2,2,1,2
"RLT_42",3,3,1,1,2
"RLT_42",3,4,1,2,2
"RLT_42",3,5,2,1,2
"RLT_42",3,6,2,2,2
"RLT_42",3,7,2,1,2
"RLT_42",3,8,2,1,2
"RLT_42",3,9,2,1,2
"RLT_42",3,10,2,1,2
"RLT_42",4,1,2,1,2
"RLT_42",4,2,2,1,1
"RLT_42",4,3,2,1,2
"RLT_42",4,4,2,1,2
"RLT_42",4,5,2,1,2
"RLT_42",4,6,2,1,2
"RLT_42",4,7,2,1,2
"RLT_42",4,8,2,1,2
"RLT_42",4,9,2,1,2
"RLT_42",4,10,2,1,2
"RLT_42",4,1,1,1,2
"RLT_42",4,2,2,1,2
"RLT_42",4,3,2,1,1
"RLT_42",4,4,2,1,2
"RLT_42",4,5,2,1,2
"RLT_42",4,6,2,1,1
"RLT_42",4,7,2,1,2
"RLT_42",4,8,2,1,2
"RLT_42",4,9,2,1,2
"RLT_42",4,10,2,1,2
"RLT_42",5,1,1,2,1
"RLT_42",5,2,2,1,2
"RLT_42",5,3,2,2,1
"RLT_42",5,4,2,1,2
"RLT_42",5,5,2,1,2
"RLT_42",5,6,2,1,2
"RLT_42",5,7,2,1,2
"RLT_42",5,8,2,1,1
"RLT_42",5,9,2,2,2
"RLT_42",5,10,2,1,1
"RLT_42",5,1,1,1,2
"RLT_42",5,2,2,1,1
"RLT_42",5,3,2,1,2
"RLT_42",5,4,2,1,2
"RLT_42",5,5,2,1,2
"RLT_42",5,6,2,1,2
"RLT_42",5,7,2,1,2
"RLT_42",5,8,2,1,1
"RLT_42",5,9,2,1,1
"RLT_42",5,10,2,1,1
"RLT_42",6,1,2,1,2
"RLT_42",6,2,2,1,2
"RLT_42",6,3,2,1,2
"RLT_42",6,4,2,1,2
"RLT_42",6,5,2,1,2
"RLT_42",6,6,2,1,2
"RLT_42",6,7,2,1,1
"RLT_42",6,8,2,1,1
"RLT_42",6,9,2,2,2
"RLT_42",6,10,2,1,2
"RLT_42",6,1,2,1,2
"RLT_42",6,2,2,1,2
"RLT_42",6,3,2,1,2
"RLT_42",6,4,2,1,2
"RLT_42",6,5,2,1,2
"RLT_42",6,6,2,2,2
"RLT_42",6,7,2,2,2
"RLT_42",6,8,2,1,2
"RLT_42",6,9,2,1,2
"RLT_42",6,10,2,2,2
"RLT_43",1,1,2,1,1
"RLT_43",1,2,2,1,2
"RLT_43",1,3,2,1,2
"RLT_43",1,4,2,1,1
"RLT_43",1,5,2,1,2
"RLT_43",1,6,2,1,2
"RLT_43",1,7,2,2,1
"RLT_43",1,8,2,1,2
"RLT_43",1,9,2,1,2
"RLT_43",1,10,2,1,2
"RLT_43",1,1,2,1,2
"RLT_43",1,2,2,2,2
"RLT_43",1,3,2,1,2
"RLT_43",1,4,2,1,2
"RLT_43",1,5,2,1,2
"RLT_43",1,6,2,2,2
"RLT_43",1,7,2,1,2
"RLT_43",1,8,2,1,2
"RLT_43",1,9,2,2,2
"RLT_43",1,10,2,1,2
"RLT_43",2,1,2,1,2
"RLT_43",2,2,2,1,2
"RLT_43",2,3,2,1,2
"RLT_43",2,4,2,1,2
"RLT_43",2,5,2,2,2
"RLT_43",2,6,2,1,2
"RLT_43",2,7,2,1,2
"RLT_43",2,8,2,1,1
"RLT_43",2,9,2,1,2
"RLT_43",2,10,2,1,2
"RLT_43",2,1,2,2,2
"RLT_43",2,2,2,1,2
"RLT_43",2,3,2,1,2
"RLT_43",2,4,2,2,2
"RLT_43",2,5,2,1,2
"RLT_43",2,6,2,2,2
"RLT_43",2,7,2,1,2
"RLT_43",2,8,2,1,2
"RLT_43",2,9,2,2,2
"RLT_43",2,10,2,1,2
"RLT_43",3,1,2,1,1
"RLT_43",3,2,2,1,1
"RLT_43",3,3,2,1,2
"RLT_43",3,4,2,1,2
"RLT_43",3,5,2,1,1
"RLT_43",3,6,2,1,2
"RLT_43",3,7,2,2,1
"RLT_43",3,8,2,1,1
"RLT_43",3,9,2,1,2
"RLT_43",3,10,2,1,1
"RLT_43",3,1,1,1,1
"RLT_43",3,2,1,1,2
"RLT_43",3,3,1,1,1
"RLT_43",3,4,1,1,1
"RLT_43",3,5,1,1,1
"RLT_43",3,6,1,1,2
"RLT_43",3,7,1,1,1
"RLT_43",3,8,1,1,2
"RLT_43",3,9,1,1,1
"RLT_43",3,10,1,1,1
"RLT_43",4,1,2,2,2
"RLT_43",4,2,2,1,2
"RLT_43",4,3,2,1,2
"RLT_43",4,4,2,2,2
"RLT_43",4,5,2,1,2
"RLT_43",4,6,2,1,2
"RLT_43",4,7,2,1,2
"RLT_43",4,8,2,2,2
"RLT_43",4,9,2,1,2
"RLT_43",4,10,2,1,2
"RLT_43",4,1,2,1,2
"RLT_43",4,2,2,2,2
"RLT_43",4,3,2,2,2
"RLT_43",4,4,2,1,2
"RLT_43",4,5,2,1,2
"RLT_43",4,6,2,2,2
"RLT_43",4,7,2,2,2
"RLT_43",4,8,2,1,2
"RLT_43",4,9,2,1,2
"RLT_43",4,10,2,1,2
"RLT_43",5,1,2,2,2
"RLT_43",5,2,2,1,2
"RLT_43",5,3,2,1,2
"RLT_43",5,4,2,1,2
"RLT_43",5,5,2,1,2
"RLT_43",5,6,2,1,2
"RLT_43",5,7,2,2,2
"RLT_43",5,8,2,1,2
"RLT_43",5,9,2,2,2
"RLT_43",5,10,2,1,2
"RLT_43",5,1,1,1,1
"RLT_43",5,2,1,1,1
"RLT_43",5,3,1,1,1
"RLT_43",5,4,1,1,1
"RLT_43",5,5,1,1,1
"RLT_43",5,6,1,1,1
"RLT_43",5,7,1,1,1
"RLT_43",5,8,1,1,1
"RLT_43",5,9,1,1,2
"RLT_43",5,10,1,1,1
"RLT_43",6,1,2,1,2
"RLT_43",6,2,2,1,2
"RLT_43",6,3,2,1,2
"RLT_43",6,4,2,1,2
"RLT_43",6,5,2,1,2
"RLT_43",6,6,2,1,1
"RLT_43",6,7,2,1,2
"RLT_43",6,8,2,2,2
"RLT_43",6,9,2,2,2
"RLT_43",6,10,2,1,2
"RLT_43",6,1,1,1,1
"RLT_43",6,2,1,1,1
"RLT_43",6,3,1,1,1
"RLT_43",6,4,1,1,2
"RLT_43",6,5,1,1,1
"RLT_43",6,6,1,1,2
"RLT_43",6,7,1,1,1
"RLT_43",6,8,1,1,1
"RLT_43",6,9,1,1,1
"RLT_43",6,10,1,1,1
"RLT_44",1,1,1,2,2
"RLT_44",1,2,1,1,2
"RLT_44",1,3,1,2,1
"RLT_44",1,4,1,1,2
"RLT_44",1,5,2,2,2
"RLT_44",1,6,2,2,2
"RLT_44",1,7,2,1,2
"RLT_44",1,8,2,2,2
"RLT_44",1,9,2,1,2
"RLT_44",1,10,1,2,1
"RLT_44",1,1,1,1,2
"RLT_44",1,2,1,2,2
"RLT_44",1,3,2,1,2
"RLT_44",1,4,2,1,2
"RLT_44",1,5,2,1,2
"RLT_44",1,6,2,1,2
"RLT_44",1,7,2,1,2
"RLT_44",1,8,2,1,2
"RLT_44",1,9,2,1,2
"RLT_44",1,10,2,1,2
"RLT_44",2,1,1,2,1
"RLT_44",2,2,1,2,1
"RLT_44",2,3,1,2,2
"RLT_44",2,4,1,2,1
"RLT_44",2,5,1,1,2
"RLT_44",2,6,1,2,1
"RLT_44",2,7,1,2,2
"RLT_44",2,8,1,2,2
"RLT_44",2,9,1,2,1
"RLT_44",2,10,1,2,1
"RLT_44",2,1,1,1,1
"RLT_44",2,2,1,1,1
"RLT_44",2,3,1,1,2
"RLT_44",2,4,1,1,1
"RLT_44",2,5,1,1,1
"RLT_44",2,6,1,1,2
"RLT_44",2,7,1,1,1
"RLT_44",2,8,1,1,1
"RLT_44",2,9,1,1,1
"RLT_44",2,10,1,1,2
"RLT_44",3,1,1,1,1
"RLT_44",3,2,1,2,2
"RLT_44",3,3,1,2,1
"RLT_44",3,4,1,1,1
"RLT_44",3,5,2,1,2
"RLT_44",3,6,1,2,1
"RLT_44",3,7,1,2,1
"RLT_44",3,8,1,2,2
"RLT_44",3,9,1,2,2
"RLT_44",3,10,1,1,1
"RLT_44",3,1,1,1,1
"RLT_44",3,2,1,1,1
"RLT_44",3,3,1,1,1
"RLT_44",3,4,1,1,1
"RLT_44",3,5,1,1,1
"RLT_44",3,6,2,1,2
"RLT_44",3,7,1,1,1
"RLT_44",3,8,1,1,1
"RLT_44",3,9,1,1,1
"RLT_44",3,10,1,1,1
"RLT_44",4,1,1,2,1
"RLT_44",4,2,1,1,1
"RLT_44",4,3,2,1,2
"RLT_44",4,4,1,2,1
"RLT_44",4,5,1,1,1
"RLT_44",4,6,1,2,1
"RLT_44",4,7,1,2,1
"RLT_44",4,8,1,2,2
"RLT_44",4,9,1,1,1
"RLT_44",4,10,1,1,1
"RLT_44",4,1,2,1,2
"RLT_44",4,2,2,1,2
"RLT_44",4,3,2,1,2
"RLT_44",4,4,2,2,2
"RLT_44",4,5,2,1,2
"RLT_44",4,6,2,1,2
"RLT_44",4,7,2,1,2
"RLT_44",4,8,2,1,2
"RLT_44",4,9,2,1,2
"RLT_44",4,10,2,1,2
"RLT_44",5,1,2,2,1
"RLT_44",5,2,2,2,2
"RLT_44",5,3,2,2,1
"RLT_44",5,4,2,1,2
"RLT_44",5,5,2,1,2
"RLT_44",5,6,2,1,2
"RLT_44",5,7,2,1,1
"RLT_44",5,8,2,1,2
"RLT_44",5,9,2,1,2
"RLT_44",5,10,1,2,1
"RLT_44",5,1,2,1,2
"RLT_44",5,2,2,1,2
"RLT_44",5,3,2,1,2
"RLT_44",5,4,2,1,2
"RLT_44",5,5,2,1,2
"RLT_44",5,6,2,1,2
"RLT_44",5,7,2,2,2
"RLT_44",5,8,2,2,2
"RLT_44",5,9,2,1,2
"RLT_44",5,10,2,1,2
"RLT_44",6,1,2,1,2
"RLT_44",6,2,1,2,1
"RLT_44",6,3,1,1,1
"RLT_44",6,4,1,2,1
"RLT_44",6,5,1,1,1
"RLT_44",6,6,1,2,2
"RLT_44",6,7,1,2,1
"RLT_44",6,8,1,2,1
"RLT_44",6,9,1,1,1
"RLT_44",6,10,1,1,1
"RLT_44",6,1,2,1,2
"RLT_44",6,2,1,1,1
"RLT_44",6,3,1,1,1
"RLT_44",6,4,1,1,1
"RLT_44",6,5,1,1,1
"RLT_44",6,6,1,1,1
"RLT_44",6,7,1,1,1
"RLT_44",6,8,1,1,1
"RLT_44",6,9,1,1,1
"RLT_44",6,10,1,1,1
"RLT_45",1,1,1,2,1
"RLT_45",1,2,1,1,1
"RLT_45",1,3,1,2,1
"RLT_45",1,4,2,1,2
"RLT_45",1,5,1,2,1
"RLT_45",1,6,1,2,2
"RLT_45",1,7,2,1,2
"RLT_45",1,8,1,2,2
"RLT_45",1,9,1,2,1
"RLT_45",1,10,1,2,1
"RLT_45",1,1,2,1,2
"RLT_45",1,2,2,1,2
"RLT_45",1,3,1,2,2
"RLT_45",1,4,1,2,2
"RLT_45",1,5,2,1,2
"RLT_45",1,6,2,1,2
"RLT_45",1,7,1,2,2
"RLT_45",1,8,2,1,2
"RLT_45",1,9,2,1,2
"RLT_45",1,10,2,1,2
"RLT_45",2,1,2,1,2
"RLT_45",2,2,1,2,1
"RLT_45",2,3,2,1,2
"RLT_45",2,4,1,2,1
"RLT_45",2,5,1,2,1
"RLT_45",2,6,1,2,1
"RLT_45",2,7,1,2,1
"RLT_45",2,8,2,1,2
"RLT_45",2,9,2,1,1
"RLT_45",2,10,2,1,2
"RLT_45",2,1,2,1,2
"RLT_45",2,2,2,1,2
"RLT_45",2,3,1,1,2
"RLT_45",2,4,1,1,1
"RLT_45",2,5,1,1,1
"RLT_45",2,6,1,1,2
"RLT_45",2,7,1,1,2
"RLT_45",2,8,2,1,2
"RLT_45",2,9,1,1,1
"RLT_45",2,10,1,1,1
"RLT_45",3,1,2,1,2
"RLT_45",3,2,1,2,1
"RLT_45",3,3,1,1,1
"RLT_45",3,4,1,2,1
"RLT_45",3,5,1,2,1
"RLT_45",3,6,2,1,2
"RLT_45",3,7,2,1,2
"RLT_45",3,8,1,1,1
"RLT_45",3,9,1,2,2
"RLT_45",3,10,1,2,1
"RLT_45",3,1,2,1,2
"RLT_45",3,2,2,1,2
"RLT_45",3,3,1,2,2
"RLT_45",3,4,2,1,2
"RLT_45",3,5,1,1,2
"RLT_45",3,6,1,2,2
"RLT_45",3,7,2,1,2
"RLT_45",3,8,2,2,2
"RLT_45",3,9,2,1,2
"RLT_45",3,10,2,1,2
"RLT_45",4,1,2,2,2
"RLT_45",4,2,1,2,1
"RLT_45",4,3,2,1,2
"RLT_45",4,4,1,2,2
"RLT_45",4,5,1,1,2
"RLT_45",4,6,2,2,2
"RLT_45",4,7,2,1,2
"RLT_45",4,8,1,2,2
"RLT_45",4,9,1,2,1
"RLT_45",4,10,1,2,1
"RLT_45",4,1,2,1,2
"RLT_45",4,2,1,2,2
"RLT_45",4,3,1,1,2
"RLT_45",4,4,2,1,2
"RLT_45",4,5,2,1,2
"RLT_45",4,6,1,1,2
"RLT_45",4,7,2,1,2
"RLT_45",4,8,1,2,2
"RLT_45",4,9,1,1,2
"RLT_45",4,10,1,2,2
"RLT_45",5,1,1,2,2
"RLT_45",5,2,2,2,2
"RLT_45",5,3,2,1,2
"RLT_45",5,4,1,2,2
"RLT_45",5,5,1,2,1
"RLT_45",5,6,2,2,2
"RLT_45",5,7,1,1,1
"RLT_45",5,8,1,1,1
"RLT_45",5,9,1,2,1
"RLT_45",5,10,1,2,1
"RLT_45",5,1,1,1,2
"RLT_45",5,2,1,1,1
"RLT_45",5,3,1,1,1
"RLT_45",5,4,1,1,1
"RLT_45",5,5,1,1,2
"RLT_45",5,6,1,1,1
"RLT_45",5,7,1,1,2
"RLT_45",5,8,1,1,1
"RLT_45",5,9,1,1,1
"RLT_45",5,10,1,1,1
"RLT_45",6,1,1,1,2
"RLT_45",6,2,2,1,1
"RLT_45",6,3,2,1,2
"RLT_45",6,4,2,1,2
"RLT_45",6,5,2,2,2
"RLT_45",6,6,1,2,1
"RLT_45",6,7,1,2,1
"RLT_45",6,8,1,2,1
"RLT_45",6,9,1,2,1
"RLT_45",6,10,1,2,1
"RLT_45",6,1,1,1,1
"RLT_45",6,2,1,1,1
"RLT_45",6,3,1,1,1
"RLT_45",6,4,1,1,2
"RLT_45",6,5,1,1,1
"RLT_45",6,6,1,1,1
"RLT_45",6,7,1,1,1
